"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.496791	0	1.04489	0.971186	0	0.0539835	0.000169741	16.354	-0.0469101	18.8438	56.8474	237.613	16.4706	14.6841	9.9321	296.302	304.944	93.1635	285.146	268.236	55.3502
0.567147	0	1.03213	0.97037	0	0.0480212	0.000126867	13.1822	-0.0567184	16.0053	46.6731	163.622	14.7914	15.7608	6.46606	228.669	223.631	60.3897	302.073	285.135	102.635
0.504918	0	1.01794	0.978218	0	0.0386437	8.14988e-05	15.1061	-0.050695	17.5008	51.9596	208.081	15.0138	14.1437	6.12129	168.097	183.844	47.8986	294.336	271.796	42.6007
0.498452	0	1.01627	0.973597	0	0.0288656	5.10753e-05	11.688	-0.0663953	13.4823	39.7141	122.006	26.4138	27.0542	14.3168	247.994	256.471	72.3888	258.01	253.285	45.7509
0.614555	0	1.02894	0.964486	0	0.0428663	9.27916e-05	14.7581	-0.0494093	18.7078	53.3841	216.183	28.9063	26.0601	40.8058	190.807	196.39	42.8008	265.626	246.736	36.6965
0.657509	0	1.02758	0.969626	0	0.0373414	4.37552e-05	12.9159	-0.0551542	17.1424	47.7943	173.928	13.969	13.988	5.47037	199.647	216.431	60.7593	259.01	263.241	56.1842
0.744613	1	1.07085	0.945545	0.00276446	0.073494	0.000181894	11.7656	-0.0558991	17.6265	47.3288	158.456	26.0942	25.7461	27.9915	182.516	192.173	72.4408	275.307	272.065	57.3489
0.819615	1	1.11504	0.930894	0.00126311	0.095826	0.000333945	8.46631	-0.0695291	14.7776	38.1953	96.7236	166.25	173.969	132.693	105.555	102.205	33.406	195.295	189.236	54.0656
0.444804	0	1.02107	0.984402	0	0.0359748	7.02789e-05	16.4805	-0.0474362	18.4011	55.6958	237.589	78.4213	77.1127	43.8781	186.769	196.158	84.9493	241.339	232.53	60.5284
0.561919	0	1.03394	0.979684	0	0.0477216	0.000170231	13.8633	-0.0536074	16.7595	49.4494	183.306	41.3954	42.8571	29.0118	195.605	203.136	70.7953	285.135	265.735	61.0301
0.697121	1	1.05824	0.96875	0.000116057	0.0659317	0.000248654	11.4556	-0.0591637	15.9782	44.8407	145.035	22.3659	23.261	9.25676	142.595	149.323	49.0249	258.698	260.144	60.1313
0.616553	0	1.03297	0.964093	0	0.0466423	0.000110554	15.0513	-0.0481492	19.1173	54.7965	225.674	145.256	149.397	54.0838	155.87	152.879	50.077	354.374	330.922	73.7414
0.42399	0	1.01566	0.969262	0	0.0294293	4.79064e-05	15.1284	-0.0523175	16.7041	50.4626	197.037	14.6506	14.9345	6.16699	276.818	277.381	93.4266	237.682	219.56	45.862
