"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.62634	0	1.04208	0.979452	0	0.0626577	0.000193106	10.978	-0.0655842	14.0825	40.1786	119.893	14.3346	14.8741	7.02863	18.3684	17.1469	3.58938	755.3	705.962	105.522
0.655294	0	1.02746	0.984547	0	0.0422365	5.57583e-05	13.4079	-0.0530243	17.75	49.6211	187.531	21.8272	20.8341	19.1485	44.412	42.2175	4.81288	418.782	385.038	58.5846
0.643487	0	1.02389	0.976087	0	0.0365132	4.19299e-05	13.5389	-0.0530216	17.6874	49.5985	188.53	12.4092	13.8018	12.3886	15.6167	15.1091	2.87681	484.733	447.419	66.0304
0.749742	0	1.05046	0.97048	0	0.063508	0.000112463	9.65318	-0.0678241	14.5878	38.7152	110.517	14.5426	14.8783	6.23157	18.9224	18.5665	3.21529	597.683	567.221	98.791
0.610235	0	1.02087	0.979644	0	0.0364808	4.59014e-05	12.7522	-0.0577529	16.0967	45.5386	159.582	13.7272	20.0545	35.8177	47.516	45.9714	7.53476	370.665	340.862	65.9271
0.624381	0	1.02137	0.964912	0	0.0374982	4.24442e-05	12.6768	-0.0575733	16.229	45.6612	160.351	9.806	10.3169	4.23261	8.5373	9.03896	3.39516	446.639	414.527	78.81
0.469327	0	1.00987	0.976923	0	0.0277594	3.11001e-05	13.4121	-0.0581716	15.1888	45.15	159.536	22.8922	21.9239	13.4939	16.8492	16.1207	2.75033	513.733	476.268	72.0869
0.613994	0	1.02279	0.966736	0	0.0410104	4.97097e-05	14.0175	-0.0522108	17.7591	50.3263	194.142	9.69147	9.78065	3.99828	14.4839	14.0409	2.31572	574.91	522.811	90.8414
0.635204	0	1.03177	0.967366	0	0.0496125	7.83573e-05	13.1243	-0.0551836	16.9928	47.6785	171.86	172.316	190.99	85.2753	31.8347	29.6988	5.94568	532.784	470.311	117.182
0.776284	0	1.06851	0.981538	0	0.0677429	0.000125143	10.3915	-0.0609684	16.4845	43.1628	133.97	8.09744	8.43574	3.29781	29.2322	28.5204	3.50634	466.016	443.9	58.0169
0.574613	0	1.01867	0.975477	0	0.0351658	5.13172e-05	12.5119	-0.059562	15.2878	44.163	150.577	17.7288	16.8017	6.60255	16.9195	16.081	3.11886	691.274	641.768	86.9907
0.601551	0	1.02294	0.97995	0	0.0421792	6.03323e-05	12.9355	-0.0567987	16.193	46.3035	164.38	14.4953	15.624	21.8322	29.2674	28.7852	5.08138	424.846	389.923	60.2657
0.679001	0	1.03117	0.986807	0	0.0438536	4.43802e-05	12.1039	-0.057774	16.4872	45.4817	157.05	8.55245	8.21925	3.389	45.1603	45.8102	7.8268	254.467	243.572	32.6584
0.681719	0	1.02807	0.967153	0	0.046357	6.11528e-05	10.1782	-0.0684406	13.912	38.3654	112.201	21.0655	21.6604	16.0463	9.70861	9.31321	2.09527	579.265	549.494	73.6646
0.63038	0	1.04181	0.966736	0	0.0587517	0.00018228	13.9275	-0.0517867	17.9411	50.8562	192.534	20.5695	22.7677	39.9993	23.9476	23.4172	4.12286	548.68	506.241	81.9039
0.468183	0	1.01378	0.976285	0	0.0335377	4.1304e-05	15.2868	-0.0512171	17.3	51.3132	204.625	7.09915	9.53036	13.5294	10.07	9.75304	2.34017	498.28	447.138	87.698
0.660801	0	1.02632	0.981176	0	0.0388918	3.88867e-05	12.9217	-0.0549313	17.2161	47.868	175.128	26.1035	25.5348	10.3206	17.5133	17.3837	3.17465	369.749	343.693	62.8875
0.790533	0	1.07382	0.976253	0	0.0665221	0.000100284	11.0417	-0.0562828	18.0296	46.6659	155.523	10.3182	10.2757	4.21247	35.9453	35.0703	4.21321	475.929	440.073	79.652
